gvkey,datadate,fyearq,fqtr,fyr,indfmt,consol,popsrc,datafmt,Ticker,Company Name,curcdq,datacqtr,datafqtr,Capitalized Software,Cash,Common Share Outstanding,Invested Capital - Total - Quarterly,Intangible Assets - Total,Net Income (Loss),Revenue - Total,Research and Development Expense,exchg,costat,Market Value - Total,Price Close - Quarter,GIC Sub-Industries
1878,7/31/2020,2020,2,1,INDL,C,D,STD,ADSK,AUTODESK INC,USD,2020Q2,2020Q2,,1439.8,219.3,2096.7,2637.2,98.2,913.1,232.5,14,A,51849.099,236.43,45103010
1878,10/31/2020,2020,3,1,INDL,C,D,STD,ADSK,AUTODESK INC,USD,2020Q3,2020Q3,,1537,219.7,2104.1,2663.6,132.2,952.4,233,14,A,51748.138,235.54,45103010
1878,1/31/2021,2020,4,1,INDL,C,D,STD,ADSK,AUTODESK INC,USD,2020Q4,2020Q4,,1772.2,219.6,2998.7,2905.8,911.3,1039.2,249.6,14,A,60923.628,277.43,45103010
1878,4/30/2021,2021,1,1,INDL,C,D,STD,ADSK,AUTODESK INC,USD,2021Q1,2021Q1,,923.2,220,3143.6,3987.1,155.6,989.3,265.5,14,A,64220.2,291.91,45103010
1878,7/31/2021,2021,2,1,INDL,C,D,STD,ADSK,AUTODESK INC,USD,2021Q2,2021Q2,,923.5,219.9,3325.1,4073.5,115.6,1059.7,276.9,14,A,70616.487,321.13,45103010
1878,10/31/2021,2021,3,1,INDL,C,D,STD,ADSK,AUTODESK INC,USD,2021Q3,2021Q3,,1748.9,219.9,4239.7,4077.4,136.7,1125.8,282.1,14,A,69842.439,317.61,45103010
1891,3/31/2019,2019,3,6,INDL,C,D,STD,ADP,AUTOMATIC DATA PROCESSING,USD,2019Q1,2019Q3,737.2,1826.2,435.5,7248.5,3379,753.8,3828.2,160.1,14,A,69566.77,159.74,45102020
1891,6/30/2019,2019,4,6,INDL,C,D,STD,ADP,AUTOMATIC DATA PROCESSING,USD,2019Q2,2019Q4,757,1949.2,434.2,7402.1,3394.5,475.4,3479.3,162.1,14,A,71786.286,165.33,45102020
1891,9/30/2019,2020,1,6,INDL,C,D,STD,ADP,AUTOMATIC DATA PROCESSING,USD,2019Q3,2020Q1,768.5,1403.9,433.4,6719.5,3382.2,582.4,3495.7,168.2,14,A,69959.428,161.42,45102020
1891,12/31/2019,2020,2,6,INDL,C,D,STD,ADP,AUTOMATIC DATA PROCESSING,USD,2019Q4,2020Q2,777.3,1500.4,431.8,6727.6,3417.4,651.6,3669.5,168.7,14,A,73621.9,170.5,45102020
1891,3/31/2020,2020,3,6,INDL,C,D,STD,ADP,AUTOMATIC DATA PROCESSING,USD,2020Q1,2020Q3,793.9,1705,429.8,6854.7,3406,820.9,4047.8,172.1,14,A,58745.064,136.68,45102020
1891,6/30/2020,2020,4,6,INDL,C,D,STD,ADP,AUTOMATIC DATA PROCESSING,USD,2020Q2,2020Q4,807.1,1908.5,429.9,7099.4,3525.2,411.6,3376.8,165.1,14,A,64007.811,148.89,45102020
1891,9/30/2020,2021,1,6,INDL,C,D,STD,ADP,AUTOMATIC DATA PROCESSING,USD,2020Q3,2021Q1,825.8,1613.1,429.3,8133.2,3542.2,602.1,3470.7,168.7,14,A,59883.057,139.49,45102020
1891,12/31/2020,2021,2,6,INDL,C,D,STD,ADP,AUTOMATIC DATA PROCESSING,USD,2020Q4,2021Q2,835.7,1602.2,428.1,8251.5,3553.8,647.5,3695.8,174.5,14,A,75431.22,176.2,45102020
1891,3/31/2021,2021,3,6,INDL,C,D,STD,ADP,AUTOMATIC DATA PROCESSING,USD,2021Q1,2021Q3,860.3,1891.5,426,8029.1,3546.6,810.7,4101.9,178.6,14,A,80288.22,188.47,45102020
